X0	N1	N2	N3	P4	P2	P3	N4	N5	N6	N7	P1
PD38778h_lo0006	0.0004082774049217	0.244637583892617	0.297543624161074	0.162080536912752	0.00129362416107383	0.00898657718120805	0.190125279642058	0.0218266219239374	0.0277438478747204	0.00375335570469799	0.0245497762863535	0.0170508948545861
PD38778h_lo0033	0.000293208621390809	0.308774298495323	0.458736884912566	0.158592923952826	0.0017259048393656	0.00975721838145588	0.0399296461976413	0.00542537616917446	0.00439772265148434	0.00766287108580724	0.00113379422529484	0.00357015046766978
PD38778k_lo0039	0.000108834827144686	0.175036766050851	0.21701682824218	0.0513663800987745	0.285423815620999	0.213405706969087	0.0239271995610024	0.00317303822937626	0.0227325772818731	0.00694567404426559	0.000357783062008414	0.000505396012438266
PD38779b_lo0003	0.000928621413575927	0.471299510146956	0.26051644506648	0.0489930020993702	0.00864170748775367	0.0174338698390483	0.0332743177046886	0.00547935619314206	0.00934009797060882	0.11525122463261	0.0205129461161652	0.00832890132960112
PD38779b_lo0015	0.00163642297650131	0.549804830287206	0.235064621409922	0.0285437336814621	0.0111788511749347	0.00417624020887728	0.0689973890339426	0.0075097911227154	0.0229079634464752	0.058684725848564	0.00854373368146214	0.00295169712793734
PD38779c_lo0002	0.00153479125248509	0.485978131212724	0.28988336646786	0.0508084824387011	0.000733598409542743	0.00145328031809145	0.0842372432074221	0.00565738899933731	0.00794831013916501	0.0610417495029821	0.00361630218687873	0.00710735586481113
PD39461f_lo0015	0.0181575342465753	0.309763698630137	0.057541095890411	0.042958904109589	0.0161952054794521	0.0102705479452055	0.0932602739726027	0.167054794520548	0.269126712328767	0.0075445205479452	0.00544520547945205	0.00268150684931507
PD39461f_lo0045	0.00202053388090349	0.355669404517454	0.0856509240246407	0.0598726899383984	0.014429158110883	0.0108562628336756	0.0178932238193018	0.215973305954825	0.193330595482546	0.00436550308008214	0.0278069815195072	0.0121314168377823
PD39462j_lo0021	0.000368013281682346	0.22705035971223	0.192983674598783	0.261776701715551	0.172571112340897	0.0802778085224128	0.0347501383508578	0.00639513004980631	0.0122722744881018	0.0106546762589928	0.000471223021582734	0.000428887659103486
PD39462j_lo0023	0.000523934771173067	0.261608100999474	0.23084481851657	0.388675433982115	0.00032140978432404	0.000707522356654392	0.0989900052603893	0.00507837980010521	0.00676012624934245	0.00288216728037875	0.0020867964229353	0.00152130457653866
PD39462k_lo0023	0.000159663865546218	0.306633520074697	0.223929971988796	0.30993137254902	0.000778711484593838	0.00061484593837535	0.143696078431373	0.00250887021475257	0.00348085901027077	0.00535574229691877	0.000625116713352007	0.00228524743230626
PD39462k_lo0026	0.000817157712305026	0.356148180242634	0.210124783362218	0.358343154246101	0.0011629116117851	0.00211265164644714	0.0478994800693241	0.00688301559792028	0.00717331022530329	0.0058630849220104	0.00259618717504333	0.000876083188908146
PD39462k_lo0057	0.000512820512820513	0.181860696517413	0.158558744737849	0.376948717948718	0.0732916188289323	0.0679720627631075	0.125511672407195	0.00940489858400306	0.0017929582854956	0.00244814389590509	0.00135361653272101	0.000344048985840031
PD39462k_lo0058	0.00130603804797353	0.460131927212572	0.198465260545906	0.231396195202647	0.000751861042183623	0.00999172870140612	0.0644958643507031	0.00450289495450786	0.0118287841191067	0.00981224152191894	0.00708478081058726	0.000232423490488007
PD40794i_lo0056	0.000193658954584404	0.335467223650386	0.58833204798629	0.00975449871465296	0.000346401028277635	0.00443594687232219	0.0138245501285347	0.00529413024850043	0.0012487146529563	0.00166302485004284	0.0392731362467866	0.000166666666666667
PD40794i_lo0067	0.000958237986270023	0.209795766590389	0.645926487414188	0.00821024027459954	0.000567505720823799	0.00308237986270023	0.0885995423340961	0.029474828375286	0.00249427917620137	0.0077162471395881	0.000522597254004577	0.00265188787185355
PD40794i_lo0076	0.000136918833727344	0.325082151300236	0.621965130023641	0.00481973995271868	0.00143498817966903	0.00106914893617021	0.00512805358550039	0.0215914105594957	0.00253743104806935	0.0004424743892829	0.0155451142631994	0.000247438928289992
PD40794i_lo0111	0.000709813499111901	0.268952486678508	0.661556394316163	0.0166081261101243	0.000638765541740675	0.000788410301953819	0.0159293960923623	0.0266016873889876	0.00251731793960924	0.00167007104795737	0.00192761989342806	0.00209991119005329
