X0	N1	N2	P3	N3	P4	P2	N4	N5	N6	N7	P1
PD40794i_lo0056	0.000416666666666667	0.333075835475578	0.569612682090831	0.0342997000856898	0.00690681233933162	0.000383033419023136	0.00567759211653813	0.00680419880034276	0.00163260497000857	0.038837617823479	0.0021872322193659	0.000166023993144816
PD40794i_lo0067	0.000950228832951945	0.212588386727689	0.61874971395881	0.111969965675057	0.00500314645308924	0.000606407322654462	0.00378461098398169	0.0369602402745995	0.00284954233409611	0.000419908466819222	0.00395766590389016	0.00216018306636156
PD40794i_lo0076	0.000263593380614657	0.328593971631206	0.605950945626478	0.0146908983451537	0.0039091804570528	0.0015112293144208	0.00124527186761229	0.0261089440504334	0.00287962962962963	0.0141461780929866	0.000434791174152876	0.000265366430260047
PD40794i_lo0111	0.00131150088809947	0.270709147424512	0.639874777975133	0.0352155861456483	0.0120401865008881	0.000845026642984014	0.000980683836589698	0.0322362344582593	0.00213365896980462	0.00121891651865009	0.00137477797513321	0.0020595026642984
PD40794i_lo0122	0.00011592039800995	0.293068407960199	0.647312437810945	0.0102151741293532	0.00594378109452736	0.000711940298507463	0.0011047263681592	0.0308761194029851	0.00176691542288557	0.00816119402985075	0.000458706467661692	0.000264676616915423
PD40842e_lo0010	0.00171058315334773	0.486732181425486	0.144036717062635	0.215827213822894	0.0361533477321814	0.00109503239740821	0.00216630669546436	0.0742505399568035	0.0217948164146868	0.00107991360691145	0.00452051835853132	0.0106328293736501
PD40842e_lo0022	0.00229180327868852	0.385059016393443	0.0955081967213115	0.238432786885246	0.0206655737704918	0.00202295081967213	0.00441639344262295	0.134859016393443	0.0134262295081967	0.0171901639344262	0.0388295081967213	0.0472983606557377
PD40843f_lo0026	0.00351927809680066	0.226235438884331	0.152118129614438	0.211159146841674	0.238246103363413	0.0267087776866284	0.0076259228876128	0.100917965545529	0.0170861361771944	0.00732075471698113	0.00498277276456112	0.00407957342083675
PD40843f_lo0028	0.000762560777957861	0.353769854132901	0.118328200972447	0.0988727714748784	0.315211507293355	0.000927876823338736	0.00504619124797407	0.0177293354943274	0.0771304700162075	0.00422204213938412	0.00670178282009724	0.00129740680713128
PD40843f_lo0086	0.0011589928057554	0.404971942446043	0.170022302158273	0.195635251798561	0.207323021582734	0.00429064748201439	0.00184892086330935	0.00663669064748201	0.00395323741007194	0.00190287769784173	0.00147985611510791	0.000776258992805755
PD40844b_lo0022	0.000124395881487707	0.202209077537298	0.0505295230090355	0.0335043076276529	0.0906730405547384	0.338272956503467	0.277865728094137	0.00368880016810254	0.00179281361630595	0.000390418155074595	0.000700357217902921	0.000248581634797226
PD40844j_lo0024	0.000379377431906615	0.466546044098573	0.0757185473411154	0.116514267185473	0.225770428015564	0.00048443579766537	0.0340278858625162	0.0362166018158236	0.00641374837872892	0.000600518806744488	0.00149221789883268	0.0358359273670558
PD40844k_lo0029	0.00181869369369369	0.414118243243243	0.0957381756756757	0.192636261261261	0.244587837837838	0.00106137387387387	0.00252195945945946	0.0121863738738739	0.00742511261261261	0.000495495495495496	0.0011509009009009	0.0262595720720721
PD40845i_lo0001	0.000284914463452566	0.384365474339036	0.397175738724728	0.127701399688958	0.0477256609642302	0.00741586314152411	0.0245841368584759	0.00213094867807154	0.00645349922239502	0.00026656298600311	0.00168864696734059	0.000207153965785381
PD40845i_lo0030	0.000504394861392833	0.466029411764706	0.384337728194726	0.0720463150777552	0.0463911426639621	0.000539891818796484	0.00204022988505747	0.0052052062204192	0.00807167004732928	0.0112687626774848	0.00340398918187965	0.000161257606490872
PD40845i_lo0037	0.000277485810384696	0.409245743115409	0.437354004624763	0.0402884170695817	0.0273403405507673	0.00307904141265503	0.000846121505150305	0.0021303342442716	0.0739152827412235	0.0040718940508724	0.00122303973092285	0.000228295143998318
PD40845i_lo0066	0.000401101928374656	0.362500826446281	0.434242975206612	0.110359228650138	0.0625636363636364	0.00819669421487603	0.00198181818181818	0.00954049586776859	0.00695151515151515	0.000769146005509642	0.00151460055096419	0.000977961432506887
PD40845i_lo0067	0.000497757847533632	0.450786791683653	0.319501426824297	0.124592743579291	0.0776286180187526	0.0145450468813698	0.00216021198532409	0.00274684060334285	0.00207501019160212	0.00160986547085202	0.00157276803913575	0.00228291887484713
PD40845j_lo0017	0.000269956939383902	0.415431268631997	0.412286518714806	0.0772666445842994	0.0611271944352435	0.0044978469691951	0.017374627360053	0.0012514077509109	0.00697217621729049	0.00107353428287512	0.00215733686651209	0.000291487247432925
PD40845k_lo0001	0.0011824427480916	0.460098473282443	0.356396183206107	0.0672717557251908	0.0395282442748092	0.000345038167938931	0.00124770992366412	0.0223820610687023	0.00916641221374046	0.00616946564885496	0.0341797709923664	0.0020324427480916
PD40845k_lo0009	0.00173082559843674	0.542251099169516	0.258073766487543	0.0946179775280899	0.0521753786028334	0.00221299462628236	0.000612115290669272	0.00393453834880313	0.0120869565217391	0.00099609184171959	0.0306888128969223	0.000619443087445041
PD41525g_lo0023	0.00102702702702703	0.452476006618864	0.122364589078875	0.203781025923883	0.128107004964148	0.00250303364589079	0.00265526751241037	0.0151169332597904	0.00635079977937121	0.00346387203530061	0.0597705460562603	0.00238389409817981
PD41525g_lo0025	0.000312213039485767	0.361728803183349	0.113433731251913	0.0530847872666054	0.0810180593816957	0.232181205999388	0.142511784511785	0.00524670951943679	0.00741322314049587	0.000573002754820937	0.00189960208142026	0.000596877869605142
PD41525j_lo0004	0.00495567069660334	0.528945883707542	0.103440990213011	0.13026597582038	0.134632124352332	0.00371157167530225	0.000659182498560737	0.0100846286701209	0.0735970063327576	0.000613126079447323	0.00526770293609672	0.00382613701784686
PD42031c_lo0027	9.21501706484642e-05	0.124121501706485	0.109450511945392	0.0206648464163823	0.399045733788396	0.0181631399317406	0.00577815699658703	0.314116723549488	0.0023221843003413	0.00117269624573379	0.00470443686006826	0.000367918088737201
PD42031f_lo0008	0.000607625099285147	0.133450357426529	0.191771247021446	0.0445806195393169	0.471295472597299	0.0112430500397141	0.0556942017474186	0.0281517077045274	0.00399285146942017	0.00329467831612391	0.0551755361397935	0.000742652899126291
PD42032b_lo0003	0.00129266521423384	0.495593318809005	0.192056644880174	0.15319825708061	0.0992389251997095	0.00112345679012346	0.00687944807552651	0.0373805374001452	0.00740232389251997	0.000804647785039942	0.00406753812636166	0.000962236746550472
PD42032b_lo0038	0.000407797177708682	0.203568524276489	0.164017938292275	0.0366730447261421	0.0238048313800526	0.31537981344176	0.22721860798852	0.00141521167184884	0.0251480507055728	0.000353025591963645	0.00137813920114805	0.000635015546519971
PD43303b_lo0030	0.000303712035995501	0.400143607049119	0.185525684289464	0.0946344206974128	0.104202474690664	0.0608695163104612	0.0374484439445069	0.0255654293213348	0.0770948631421072	0.00917097862767154	0.00491076115485564	0.000130108736407949
PD43303d_lo0034	0.000952815829528158	0.299858447488584	0.355661593099949	0.161393201420599	0.164482496194825	0.000926940639269406	0.00166007102993404	0.00354287163876205	0.00706037544393709	0.000727042110603754	0.00089041095890411	0.00284373414510401
PD43376b_lo0004	0.00143349414197105	0.158569262577533	0.300545830461751	0.167611991729841	0.33671605789111	0.00360096485182633	0.00190075809786354	0.011908339076499	0.00507787732598208	0.0096815988973122	0.00191592005513439	0.00103790489317712
PD43376b_lo0007	0.000227017695295641	0.184968062149331	0.289051791109193	0.264894259818731	0.235869659041864	0.00136814846784635	0.000416486836426413	0.00245360379801467	0.013132067328442	0.00118299525248166	0.0015338800172637	0.00490202848511006
PD43377b_lo0006	0.000153693931398417	0.183310026385224	0.126053430079156	0.11195580474934	0.0785811345646438	0.308114775725594	0.182063984168865	0.0028410290237467	0.00255145118733509	0.000451846965699208	0.0020646437994723	0.00185817941952507
PD43377f_lo0010	0.00251991150442478	0.434673119469027	0.346024336283186	0.125116150442478	0.0771515486725664	0.000395464601769912	0.0012516592920354	0.00321902654867257	0.00201825221238938	0.000950774336283186	0.00560287610619469	0.00107688053097345
PD43377f_lo0014	0.000868937998772253	0.016482044198895	0.242541896869245	0.366424647022713	0.109547268262738	0.00924002455494168	0.00151856967464702	0.0122065684468999	0.00899554941682013	0.000404542664211172	0.231696593001842	7.33578882750153e-05
PD43378b_lo0019	0.000975444538526672	0.202444115156647	0.26947417442845	0.14652582557155	0.254634631668078	0.0428564775613887	0.0297480948348857	0.0239593564775614	0.0255643522438611	0.0016541066892464	0.00154741744284505	0.000616003386960203
PD43378b_lo0036	0.000848600508905852	0.303905216284987	0.275050890585242	0.160016539440204	0.220737913486005	0.00168956743002545	0.00047264631043257	0.00518193384223919	0.0183447837150127	0.0109624681933842	0.0024147582697201	0.000374681933842239
PD43379b_lo0012	0.0030393634840871	0.315170854271357	0.106747068676717	0.187716917922948	0.226015075376884	0.00777554438860972	0.0695770519262982	0.0137579564489112	0.0106984924623116	0.00347822445561139	0.00249664991624791	0.0535268006700167
PD43379b_lo0035	0.000835808580858086	0.378476897689769	0.165136138613861	0.0948514851485149	0.186321782178218	0.00338943894389439	0.0144752475247525	0.0146138613861386	0.035480198019802	0.0235239273927393	0.0148613861386139	0.0680338283828383
